GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
fabric-java-sdk,org.hyperledger.fabric.sdk.helper,Utils,33,496,3,35,6,112,4,36,1,20
fabric-java-sdk,org.hyperledger.fabric.sdk.helper,DiagnosticFileDumper.new CompletionHandler() {...},21,0,0,0,9,0,3,0,3,0
fabric-java-sdk,org.hyperledger.fabric.sdk.helper,DiagnosticFileDumper,252,0,22,0,48,0,21,0,10,0
fabric-java-sdk,org.hyperledger.fabric.sdk.helper,Config,327,336,66,32,11,84,47,38,1,23
fabric-java-sdk,org.hyperledger.fabric.sdk.helper,DiagnosticFileDumper.QueEntry,17,0,0,0,5,0,1,0,1,0
fabric-java-sdk,org.hyperledger.fabric_ca.sdk.helper,Config,269,274,62,28,5,69,44,31,0,18
fabric-java-sdk,org.hyperledger.fabric.sdk.transaction,QueryInstalledChaincodesBuilder,27,0,0,0,8,0,3,0,3,0
fabric-java-sdk,org.hyperledger.fabric.sdk.transaction,ProposalBuilder,225,167,30,8,36,52,21,9,2,9
fabric-java-sdk,org.hyperledger.fabric.sdk.transaction,InstallProposalBuilder.new Object() {...},2,17,0,0,0,1,0,1,0,1
fabric-java-sdk,org.hyperledger.fabric.sdk.transaction,InstallProposalBuilder,91,244,3,22,16,53,4,21,1,11
fabric-java-sdk,org.hyperledger.fabric.sdk.transaction,LSCCProposalBuilder,17,9,0,0,5,3,2,2,2,2
fabric-java-sdk,org.hyperledger.fabric.sdk.transaction,QueryInstantiatedChaincodesBuilder,27,0,0,0,8,0,3,0,3,0
fabric-java-sdk,org.hyperledger.fabric.sdk.transaction,UpgradeProposalBuilder,10,0,0,0,4,0,2,0,2,0
fabric-java-sdk,org.hyperledger.fabric.sdk.transaction,ProtoUtils,246,82,29,3,56,26,19,6,3,6
fabric-java-sdk,org.hyperledger.fabric.sdk.transaction,TransactionBuilder,160,0,4,0,36,0,10,0,8,0
fabric-java-sdk,org.hyperledger.fabric.sdk.transaction,TransactionContext.MyStructure,0,38,0,0,0,10,0,2,0,2
fabric-java-sdk,org.hyperledger.fabric.sdk.transaction,TransactionContext,95,150,11,15,19,41,12,20,4,15
fabric-java-sdk,org.hyperledger.fabric.sdk.transaction,QueryPeerChannelsBuilder,0,27,0,0,0,8,0,3,0,3
fabric-java-sdk,org.hyperledger.fabric.sdk.transaction,CSCCProposalBuilder,5,33,1,1,1,9,1,4,0,4
fabric-java-sdk,org.hyperledger.fabric.sdk.transaction,InstantiateProposalBuilder,94,46,5,1,28,14,9,6,6,6
fabric-java-sdk,org.hyperledger.fabric.sdk.transaction,JoinPeerProposalBuilder,27,25,1,1,7,8,2,4,1,4
fabric-java-sdk,org.hyperledger.fabric.sdk.exception,CryptoException,0,9,0,0,0,4,0,2,0,2
fabric-java-sdk,org.hyperledger.fabric.sdk.exception,NoAvailableTCertException,0,4,0,0,0,2,0,1,0,1
fabric-java-sdk,org.hyperledger.fabric.sdk.exception,PeerException,0,9,0,0,0,4,0,2,0,2
fabric-java-sdk,org.hyperledger.fabric.sdk.exception,ChaincodeEndorsementPolicyParseException,0,9,0,0,0,4,0,2,0,2
fabric-java-sdk,org.hyperledger.fabric.sdk.exception,EventHubException,0,13,0,0,0,6,0,3,0,3
fabric-java-sdk,org.hyperledger.fabric.sdk.exception,NoValidPeerException,0,4,0,0,0,2,0,1,0,1
fabric-java-sdk,org.hyperledger.fabric.sdk.exception,InvokeException,0,5,0,0,0,2,0,1,0,1
fabric-java-sdk,org.hyperledger.fabric.sdk.exception,GetTCertBatchException,0,5,0,0,0,2,0,1,0,1
fabric-java-sdk,org.hyperledger.fabric.sdk.exception,InvalidProtocolBufferRuntimeException,0,13,0,0,0,5,0,3,0,3
fabric-java-sdk,org.hyperledger.fabric.sdk.exception,TransactionException,0,13,0,0,0,6,0,3,0,3
fabric-java-sdk,org.hyperledger.fabric.sdk.exception,ProposalException,0,13,0,0,0,6,0,3,0,3
fabric-java-sdk,org.hyperledger.fabric.sdk.exception,ExecuteException,0,9,0,0,0,4,0,2,0,2
fabric-java-sdk,org.hyperledger.fabric.sdk.exception,TransactionEventException,0,18,0,0,0,7,0,3,0,3
fabric-java-sdk,org.hyperledger.fabric.sdk.exception,ChaincodeException,0,5,0,0,0,2,0,1,0,1
fabric-java-sdk,org.hyperledger.fabric.sdk.exception,InvalidTransactionException,0,9,0,0,0,4,0,2,0,2
fabric-java-sdk,org.hyperledger.fabric.sdk.exception,InvalidArgumentException,0,13,0,0,0,6,0,3,0,3
